Date,data,median,LB,UB
01-01-2020,15.93,NA,NA,NA
02-01-2020,16.27,NA,NA,NA
03-01-2020,16.45,NA,NA,NA
04-01-2020,16.95,NA,NA,NA
05-01-2020,17.75,NA,NA,NA
06-01-2020,18.32,NA,NA,NA
07-01-2020,18.66,NA,NA,NA
08-01-2020,18.89,NA,NA,NA
09-01-2020,19.11,NA,NA,NA
10-01-2020,19.32,NA,NA,NA
11-01-2020,19.38,NA,NA,NA
12-01-2020,19.57,NA,NA,NA
01-01-2021,19.91,NA,NA,NA
02-01-2021,19.99,NA,NA,NA
03-01-2021,20.4,NA,NA,NA
04-01-2021,20.73,NA,NA,NA
05-01-2021,20.48,NA,NA,NA
06-01-2021,20.45,NA,NA,NA
07-01-2021,20.66,NA,NA,NA
08-01-2021,21.04,NA,NA,NA
09-01-2021,21.27,NA,NA,NA
10-01-2021,21.49,NA,NA,NA
11-01-2021,21.8,NA,NA,NA
12-01-2021,21.98,NA,NA,NA
01-01-2022,22.18,NA,NA,NA
02-01-2022,22.36,NA,NA,NA
03-01-2022,22.3,NA,NA,NA
04-01-2022,21.96,NA,NA,NA
05-01-2022,21.82,NA,NA,NA
06-01-2022,21.8,NA,NA,NA
07-01-2022,21.71,NA,NA,NA
08-01-2022,21.62,NA,NA,NA
09-01-2022,21.52,NA,NA,NA
10-01-2022,21.6,NA,NA,NA
11-01-2022,21.61,NA,NA,NA
12-01-2022,21.7,NA,NA,NA
01-01-2023,21.6,NA,NA,NA
02-01-2023,21.51,NA,NA,NA
03-01-2023,21.5,NA,NA,NA
04-01-2023,21.59,NA,NA,NA
05-01-2023,21.6,NA,NA,NA
06-01-2023,21.53,NA,NA,NA
07-01-2023,21.38,NA,NA,NA
08-01-2023,21.25,NA,NA,NA
09-01-2023,21.08,NA,NA,NA
10-01-2023,20.77,NA,NA,NA
11-01-2023,20.38,NA,NA,NA
12-01-2023,19.93,NA,NA,NA
01-01-2024,19.51,NA,NA,NA
02-01-2024,19.18,NA,NA,NA
03-01-2024,18.66,NA,NA,NA
04-01-2024,18.18,NA,NA,NA
05-01-2024,17.72,NA,NA,NA
06-01-2024,17.23,NA,NA,NA
07-01-2024,16.74,NA,NA,NA
08-01-2024,16.19,NA,NA,NA
09-01-2024,15.71,NA,NA,NA
10-01-2024,15.17,NA,NA,NA
11-01-2024,14.72,NA,NA,NA
12-01-2024,14.29,NA,NA,NA
01-01-2025,14,NA,NA,NA
02-01-2025,13.78,NA,NA,NA
03-01-2025,13.59,NA,NA,NA
04-01-2025,13.25,NA,NA,NA
05-01-2025,12.97,NA,NA,NA
06-01-2025,12.84,NA,NA,NA
07-01-2025,12.65,NA,NA,NA
08-01-2025,12.45,NA,NA,NA
09-01-2025,12.28,NA,NA,NA
10-01-2025,12.21,NA,NA,NA
11-01-2025,12.06,NA,NA,NA
12-01-2025,11.99,NA,NA,NA
01-01-2026,NaN,11.94,11.66,12.21
02-01-2026,NaN,11.86,11.27,12.45
03-01-2026,NaN,11.77,10.88,12.65
04-01-2026,NaN,11.69,10.49,12.9
05-01-2026,NaN,11.62,10.04,13.2
06-01-2026,NaN,11.54,9.55,13.53
07-01-2026,NaN,11.46,9.03,13.88
08-01-2026,NaN,11.38,8.5,14.27
09-01-2026,NaN,11.31,7.93,14.68
10-01-2026,NaN,11.23,7.34,15.12
11-01-2026,NaN,11.15,6.72,15.57
12-01-2026,NaN,11.07,6.09,16.06
