Date,data,median,LB,UB
01-01-2020,72.12,NA,NA,NA
02-01-2020,73.34,NA,NA,NA
03-01-2020,74.68,NA,NA,NA
04-01-2020,77.02,NA,NA,NA
05-01-2020,80.58,NA,NA,NA
06-01-2020,82.92,NA,NA,NA
07-01-2020,85.24,NA,NA,NA
08-01-2020,87.29,NA,NA,NA
09-01-2020,88.88,NA,NA,NA
10-01-2020,90.09,NA,NA,NA
11-01-2020,91.2,NA,NA,NA
12-01-2020,92.48,NA,NA,NA
01-01-2021,94.79,NA,NA,NA
02-01-2021,96.12,NA,NA,NA
03-01-2021,98.21,NA,NA,NA
04-01-2021,99.77,NA,NA,NA
05-01-2021,99.68,NA,NA,NA
06-01-2021,100.57,NA,NA,NA
07-01-2021,101.48,NA,NA,NA
08-01-2021,102.61,NA,NA,NA
09-01-2021,104.1,NA,NA,NA
10-01-2021,105.53,NA,NA,NA
11-01-2021,106.55,NA,NA,NA
12-01-2021,107.57,NA,NA,NA
01-01-2022,107.8,NA,NA,NA
02-01-2022,108.64,NA,NA,NA
03-01-2022,108.6,NA,NA,NA
04-01-2022,107.78,NA,NA,NA
05-01-2022,107.43,NA,NA,NA
06-01-2022,107.37,NA,NA,NA
07-01-2022,107.58,NA,NA,NA
08-01-2022,107.47,NA,NA,NA
09-01-2022,107.43,NA,NA,NA
10-01-2022,107.82,NA,NA,NA
11-01-2022,108.43,NA,NA,NA
12-01-2022,109.41,NA,NA,NA
01-01-2023,109.75,NA,NA,NA
02-01-2023,109.71,NA,NA,NA
03-01-2023,110.08,NA,NA,NA
04-01-2023,110.77,NA,NA,NA
05-01-2023,111.42,NA,NA,NA
06-01-2023,111.47,NA,NA,NA
07-01-2023,111.38,NA,NA,NA
08-01-2023,111.45,NA,NA,NA
09-01-2023,110.72,NA,NA,NA
10-01-2023,109.7,NA,NA,NA
11-01-2023,108.53,NA,NA,NA
12-01-2023,106.88,NA,NA,NA
01-01-2024,105.52,NA,NA,NA
02-01-2024,104.36,NA,NA,NA
03-01-2024,102.17,NA,NA,NA
04-01-2024,100.05,NA,NA,NA
05-01-2024,97.69,NA,NA,NA
06-01-2024,95.74,NA,NA,NA
07-01-2024,93.19,NA,NA,NA
08-01-2024,90.2,NA,NA,NA
09-01-2024,87.65,NA,NA,NA
10-01-2024,85.18,NA,NA,NA
11-01-2024,82.95,NA,NA,NA
12-01-2024,80.86,NA,NA,NA
01-01-2025,79.33,NA,NA,NA
02-01-2025,77.83,NA,NA,NA
03-01-2025,77.06,NA,NA,NA
04-01-2025,75.97,NA,NA,NA
05-01-2025,74.88,NA,NA,NA
06-01-2025,73.9,NA,NA,NA
07-01-2025,72.98,NA,NA,NA
08-01-2025,72.37,NA,NA,NA
09-01-2025,71.88,NA,NA,NA
10-01-2025,71.38,NA,NA,NA
11-01-2025,71.01,NA,NA,NA
12-01-2025,70.64,NA,NA,NA
01-01-2026,69.47,NA,NA,NA
02-01-2026,68.49,NA,NA,NA
03-01-2026,66.71,NA,NA,NA
04-01-2026,NaN,65.09,64.03,66.14
05-01-2026,NaN,63.46,61.28,65.64
06-01-2026,NaN,61.83,58.31,65.36
07-01-2026,NaN,60.21,55.16,65.26
08-01-2026,NaN,58.58,51.83,65.33
09-01-2026,NaN,56.96,48.35,65.56
10-01-2026,NaN,55.33,44.73,65.93
11-01-2026,NaN,53.7,40.98,66.43
12-01-2026,NaN,52.08,37.1,67.05
01-01-2027,NaN,50.45,33.1,67.8
02-01-2027,NaN,48.83,28.99,68.66
03-01-2027,NaN,47.2,24.78,69.62
