Date,data,median,LB,UB
01-01-2020,14.24,NA,NA,NA
02-01-2020,14.41,NA,NA,NA
03-01-2020,14.7,NA,NA,NA
04-01-2020,15.15,NA,NA,NA
05-01-2020,15.78,NA,NA,NA
06-01-2020,16.23,NA,NA,NA
07-01-2020,16.87,NA,NA,NA
08-01-2020,17.64,NA,NA,NA
09-01-2020,17.99,NA,NA,NA
10-01-2020,18.43,NA,NA,NA
11-01-2020,18.82,NA,NA,NA
12-01-2020,19.18,NA,NA,NA
01-01-2021,19.82,NA,NA,NA
02-01-2021,20.22,NA,NA,NA
03-01-2021,20.7,NA,NA,NA
04-01-2021,21.15,NA,NA,NA
05-01-2021,21.47,NA,NA,NA
06-01-2021,21.87,NA,NA,NA
07-01-2021,22.17,NA,NA,NA
08-01-2021,22.3,NA,NA,NA
09-01-2021,22.69,NA,NA,NA
10-01-2021,23.01,NA,NA,NA
11-01-2021,23.25,NA,NA,NA
12-01-2021,23.45,NA,NA,NA
01-01-2022,23.49,NA,NA,NA
02-01-2022,23.75,NA,NA,NA
03-01-2022,23.78,NA,NA,NA
04-01-2022,23.67,NA,NA,NA
05-01-2022,23.59,NA,NA,NA
06-01-2022,23.49,NA,NA,NA
07-01-2022,23.57,NA,NA,NA
08-01-2022,23.55,NA,NA,NA
09-01-2022,23.74,NA,NA,NA
10-01-2022,23.81,NA,NA,NA
11-01-2022,24.02,NA,NA,NA
12-01-2022,24.48,NA,NA,NA
01-01-2023,24.76,NA,NA,NA
02-01-2023,24.85,NA,NA,NA
03-01-2023,25.25,NA,NA,NA
04-01-2023,25.66,NA,NA,NA
05-01-2023,26.01,NA,NA,NA
06-01-2023,26.24,NA,NA,NA
07-01-2023,26.65,NA,NA,NA
08-01-2023,26.91,NA,NA,NA
09-01-2023,26.87,NA,NA,NA
10-01-2023,26.99,NA,NA,NA
11-01-2023,27,NA,NA,NA
12-01-2023,26.83,NA,NA,NA
01-01-2024,26.7,NA,NA,NA
02-01-2024,26.69,NA,NA,NA
03-01-2024,26.43,NA,NA,NA
04-01-2024,26.09,NA,NA,NA
05-01-2024,25.75,NA,NA,NA
06-01-2024,25.59,NA,NA,NA
07-01-2024,24.95,NA,NA,NA
08-01-2024,24.28,NA,NA,NA
09-01-2024,23.78,NA,NA,NA
10-01-2024,23.35,NA,NA,NA
11-01-2024,23.03,NA,NA,NA
12-01-2024,22.8,NA,NA,NA
01-01-2025,22.71,NA,NA,NA
02-01-2025,22.63,NA,NA,NA
03-01-2025,22.68,NA,NA,NA
04-01-2025,22.71,NA,NA,NA
05-01-2025,22.61,NA,NA,NA
06-01-2025,22.39,NA,NA,NA
07-01-2025,22.24,NA,NA,NA
08-01-2025,22.41,NA,NA,NA
09-01-2025,22.41,NA,NA,NA
10-01-2025,22.31,NA,NA,NA
11-01-2025,22.18,NA,NA,NA
12-01-2025,21.99,NA,NA,NA
01-01-2026,21.65,NA,NA,NA
02-01-2026,21.34,NA,NA,NA
03-01-2026,20.8,NA,NA,NA
04-01-2026,20.32,NA,NA,NA
05-01-2026,NaN,19.84,19.52,20.15
06-01-2026,NaN,19.36,18.74,19.97
07-01-2026,NaN,18.88,17.92,19.84
08-01-2026,NaN,18.4,17.05,19.76
09-01-2026,NaN,17.92,16.13,19.71
10-01-2026,NaN,17.44,15.18,19.7
11-01-2026,NaN,16.96,14.2,19.73
12-01-2026,NaN,16.48,13.18,19.79
01-01-2027,NaN,16.01,12.13,19.88
02-01-2027,NaN,15.53,11.06,20
03-01-2027,NaN,15.05,9.95,20.15
04-01-2027,NaN,14.57,8.82,20.32
