Date,data,median,LB,UB
01-01-2020,14.16,NA,NA,NA
02-01-2020,14.31,NA,NA,NA
03-01-2020,14.49,NA,NA,NA
04-01-2020,14.87,NA,NA,NA
05-01-2020,15.26,NA,NA,NA
06-01-2020,15.48,NA,NA,NA
07-01-2020,15.68,NA,NA,NA
08-01-2020,15.71,NA,NA,NA
09-01-2020,15.9,NA,NA,NA
10-01-2020,15.92,NA,NA,NA
11-01-2020,16,NA,NA,NA
12-01-2020,16.02,NA,NA,NA
01-01-2021,16.23,NA,NA,NA
02-01-2021,16.39,NA,NA,NA
03-01-2021,16.59,NA,NA,NA
04-01-2021,16.55,NA,NA,NA
05-01-2021,16.54,NA,NA,NA
06-01-2021,16.61,NA,NA,NA
07-01-2021,16.7,NA,NA,NA
08-01-2021,16.91,NA,NA,NA
09-01-2021,17.1,NA,NA,NA
10-01-2021,17.37,NA,NA,NA
11-01-2021,17.4,NA,NA,NA
12-01-2021,17.5,NA,NA,NA
01-01-2022,17.49,NA,NA,NA
02-01-2022,17.47,NA,NA,NA
03-01-2022,17.48,NA,NA,NA
04-01-2022,17.52,NA,NA,NA
05-01-2022,17.39,NA,NA,NA
06-01-2022,17.43,NA,NA,NA
07-01-2022,17.4,NA,NA,NA
08-01-2022,17.35,NA,NA,NA
09-01-2022,17.27,NA,NA,NA
10-01-2022,17.35,NA,NA,NA
11-01-2022,17.46,NA,NA,NA
12-01-2022,17.59,NA,NA,NA
01-01-2023,17.63,NA,NA,NA
02-01-2023,17.66,NA,NA,NA
03-01-2023,17.54,NA,NA,NA
04-01-2023,17.55,NA,NA,NA
05-01-2023,17.66,NA,NA,NA
06-01-2023,17.52,NA,NA,NA
07-01-2023,17.37,NA,NA,NA
08-01-2023,17.24,NA,NA,NA
09-01-2023,17.07,NA,NA,NA
10-01-2023,16.77,NA,NA,NA
11-01-2023,16.53,NA,NA,NA
12-01-2023,16.22,NA,NA,NA
01-01-2024,15.92,NA,NA,NA
02-01-2024,15.64,NA,NA,NA
03-01-2024,15.32,NA,NA,NA
04-01-2024,14.89,NA,NA,NA
05-01-2024,14.39,NA,NA,NA
06-01-2024,14.03,NA,NA,NA
07-01-2024,13.7,NA,NA,NA
08-01-2024,13.22,NA,NA,NA
09-01-2024,12.79,NA,NA,NA
10-01-2024,12.38,NA,NA,NA
11-01-2024,11.95,NA,NA,NA
12-01-2024,11.54,NA,NA,NA
01-01-2025,11.17,NA,NA,NA
02-01-2025,10.88,NA,NA,NA
03-01-2025,10.65,NA,NA,NA
04-01-2025,10.42,NA,NA,NA
05-01-2025,10.25,NA,NA,NA
06-01-2025,10.1,NA,NA,NA
07-01-2025,9.87,NA,NA,NA
08-01-2025,9.73,NA,NA,NA
09-01-2025,9.56,NA,NA,NA
10-01-2025,9.34,NA,NA,NA
11-01-2025,9.21,NA,NA,NA
12-01-2025,9.06,NA,NA,NA
01-01-2026,NaN,8.91,8.72,9.1
02-01-2026,NaN,8.76,8.4,9.12
03-01-2026,NaN,8.61,8.06,9.16
04-01-2026,NaN,8.46,7.69,9.23
05-01-2026,NaN,8.3,7.3,9.31
06-01-2026,NaN,8.15,6.88,9.42
07-01-2026,NaN,8,6.45,9.55
08-01-2026,NaN,7.85,6.01,9.69
09-01-2026,NaN,7.7,5.54,9.85
10-01-2026,NaN,7.55,5.06,10.03
11-01-2026,NaN,7.4,4.57,10.22
12-01-2026,NaN,7.24,4.06,10.43
